job_title,company,city,job_type,experience_level,min_experience_years,salary_pkr_k,required_skills,education,job_description,benefits,date_posted,company_tier,is_ai_ml_role,job_title_clean,required_skills_clean,skill_list,skill_count,description_clean,year_posted,month_posted,quarter,location_type,city_clean,salary_band
Machine Learning Engineer,Netsol,Hybrid (Karachi),Freelance,Senior,7.4,445,"Kubernetes, TensorFlow, PyTorch, Python, Docker, MLOps, BERT",Bachelors,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: Kubernetes, TensorFlow, PyTorch, Python, Docker, MLOps, BERT.
        Experience required: 7.4+ years.
        This is a Contract position.
        Education: Masters preferred.","Performance Bonus, Transport Allowance, Flexible Hours, Annual Bonus, Food Allowance",2024-08-21,MNC,True,Machine Learning Engineer,"Kubernetes, TensorFlow, PyTorch, Python, Docker, MLOps, BERT","['Kubernetes', 'TensorFlow', 'PyTorch', 'Python', 'Docker', 'MLOps', 'BERT']",7,hiring machine learning engineer join team required skills kubernetes tensorflow pytorch python docker mlops bert experience required 7 4 years contract position education masters preferred,2024,8,3,Hybrid,Karachi,Lead (220k+)
Machine Learning Engineer,10Pearls,Hybrid (Islamabad),Contract,Senior,7.8,655,"TensorFlow, PyTorch, Python, LLMs, Docker, Git, MLOps",Masters,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, PyTorch, Python, LLMs, Docker, Git, MLOps.
        Experience required: 7.8+ years.
        This is a Freelance position.
        Education: PhD preferred.","Remote Work, Medical Coverage, Transport Allowance, Performance Bonus, Professional Development",2024-09-28,MNC,True,Machine Learning Engineer,"TensorFlow, PyTorch, Python, LLMs, Docker, Git, MLOps","['TensorFlow', 'PyTorch', 'Python', 'LLMs', 'Docker', 'Git', 'MLOps']",7,hiring machine learning engineer join team required skills tensorflow pytorch python llms docker git mlops experience required 7 8 years freelance position education phd preferred,2024,9,3,Hybrid,Islamabad,Lead (220k+)
Business Intelligence Developer,Netsol,Rawalpindi,Full-time,Mid,3.3,160,"ETL, AWS, SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, AWS, SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow.
        Experience required: 3.3+ years.
        This is a Contract position.
        Education: PhD preferred.","Stock Options, Remote Work",2024-05-19,MNC,False,Business Intelligence Developer,"ETL, Cloud (AWS/GCP), SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow","['ETL', 'Cloud (AWS/GCP)', 'SQL', 'Power BI', 'PyTorch', 'Data Warehouse', 'Excel', 'Airflow']",8,hiring business intelligence developer join team required skills etl aws sql power bi pytorch data warehouse excel airflow experience required 3 3 years contract position education phd preferred,2024,5,2,On-site,Rawalpindi,Senior (150–220k)
Data Analyst,Systems Ltd,Hybrid (Karachi),Contract,Junior,1.3,175,"AWS, SQL, Power BI, Excel, Python, React, BERT, Data Visualization",Masters,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, Power BI, Excel, Python, React, BERT, Data Visualization.
        Experience required: 1.3+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Performance Bonus, Health Insurance, Food Allowance, Stock Options, Flexible Hours",2025-01-29,MNC,False,Data Analyst,"Cloud (AWS/GCP), SQL, Power BI, Excel, Python, React, BERT, Data Visualization","['Cloud (AWS/GCP)', 'SQL', 'Power BI', 'Excel', 'Python', 'React', 'BERT', 'Data Visualization']",8,hiring data analyst join team required skills aws sql power bi excel python react bert data visualization experience required 1 3 years freelance position education bachelors preferred,2025,1,1,Hybrid,Karachi,Senior (150–220k)
Business Intelligence Developer,Netsol,Hybrid (Karachi),Full-time,Senior,6.2,310,"ETL, FastAPI, SQL, Power BI, Data Warehouse, Excel, PostgreSQL, BERT",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, FastAPI, SQL, Power BI, Data Warehouse, Excel, PostgreSQL, BERT.
        Experience required: 6.2+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Remote Work, Health Insurance, Annual Bonus, Food Allowance, Flexible Hours",2024-11-14,MNC,False,Business Intelligence Developer,"ETL, FastAPI, SQL, Power BI, Data Warehouse, Excel, PostgreSQL, BERT","['ETL', 'FastAPI', 'SQL', 'Power BI', 'Data Warehouse', 'Excel', 'PostgreSQL', 'BERT']",8,hiring business intelligence developer join team required skills etl fastapi sql power bi data warehouse excel postgresql bert experience required 6 2 years freelance position education bachelors preferred,2024,11,4,Hybrid,Karachi,Lead (220k+)
Data Analyst,Netsol,Karachi,Freelance,Junior,0.2,135,"Node.js, TensorFlow, SQL, Power BI, Python, Excel, LLMs, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, TensorFlow, SQL, Power BI, Python, Excel, LLMs, Data Visualization.
        Experience required: 0.2+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Health Insurance, Medical Coverage, Remote Work, Stock Options, Annual Bonus",2024-08-03,MNC,False,Data Analyst,"Node.js, TensorFlow, SQL, Power BI, Python, Excel, LLMs, Data Visualization","['Node.js', 'TensorFlow', 'SQL', 'Power BI', 'Python', 'Excel', 'LLMs', 'Data Visualization']",8,hiring data analyst join team required skills node js tensorflow sql power bi python excel llms data visualization experience required 0 2 years contract position education bachelors preferred,2024,8,3,On-site,Karachi,Mid (80–150k)
Data Scientist,Techlogix,Karachi,Full-time,Senior,9.0,650,"Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization.
        Experience required: 9.0+ years.
        This is a Contract position.
        Education: Masters preferred.","Stock Options, Professional Development",2024-05-11,Tier1,True,Data Scientist,"Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization","['Kubernetes', 'TensorFlow', 'SQL', 'Python', 'React', 'Statistics', 'Machine Learning', 'Data Visualization']",8,hiring data scientist join team required skills kubernetes tensorflow sql python react statistics machine learning data visualization experience required 9 0 years contract position education masters preferred,2024,5,2,On-site,Karachi,Lead (220k+)
DevOps Engineer,Netsol,Multan,Freelance,Senior,5.9,525,"Kubernetes, AWS, MLflow, CI/CD, Docker, Linux, BERT",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, MLflow, CI/CD, Docker, Linux, BERT.
        Experience required: 5.9+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Transport Allowance, Food Allowance, Health Insurance",2024-03-02,MNC,False,DevOps Engineer,"Kubernetes, Cloud (AWS/GCP), MLflow, CI/CD, Docker, Linux, BERT","['Kubernetes', 'Cloud (AWS/GCP)', 'MLflow', 'CI/CD', 'Docker', 'Linux', 'BERT']",7,hiring devops engineer join team required skills kubernetes aws mlflow ci cd docker linux bert experience required 5 9 years freelance position education bachelors preferred,2024,3,1,On-site,Multan,Lead (220k+)
Data Scientist,10Pearls,Hybrid (Islamabad),Full-time,Senior,9.5,430,"Node.js, SQL, Airflow, Git, Statistics, Machine Learning, MongoDB, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, SQL, Airflow, Git, Statistics, Machine Learning, MongoDB, Data Visualization.
        Experience required: 9.5+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Transport Allowance, Professional Development, Food Allowance, Remote Work, Annual Bonus",2024-11-29,MNC,True,Data Scientist,"Node.js, SQL, Airflow, Git, Statistics, Machine Learning, MongoDB, Data Visualization","['Node.js', 'SQL', 'Airflow', 'Git', 'Statistics', 'Machine Learning', 'MongoDB', 'Data Visualization']",8,hiring data scientist join team required skills node js sql airflow git statistics machine learning mongodb data visualization experience required 9 5 years contract position education not specified preferred,2024,11,4,Hybrid,Islamabad,Lead (220k+)
Business Intelligence Developer,Folio3,Hybrid (Karachi),Full-time,Junior,0.9,255,"ETL, FastAPI, SQL, Power BI, MLflow, Data Warehouse, Excel, Git",Bachelors,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, FastAPI, SQL, Power BI, MLflow, Data Warehouse, Excel, Git.
        Experience required: 0.9+ years.
        This is a Contract position.
        Education: PhD preferred.","Remote Work, Professional Development, Health Insurance, Medical Coverage",2025-02-12,Tier1,False,Business Intelligence Developer,"ETL, FastAPI, SQL, Power BI, MLflow, Data Warehouse, Excel, Git","['ETL', 'FastAPI', 'SQL', 'Power BI', 'MLflow', 'Data Warehouse', 'Excel', 'Git']",8,hiring business intelligence developer join team required skills etl fastapi sql power bi mlflow data warehouse excel git experience required 0 9 years contract position education phd preferred,2025,2,1,Hybrid,Karachi,Lead (220k+)
