job_title,company,city,job_type,experience_level,min_experience_years,salary_pkr_k,required_skills,education,job_description,benefits,date_posted,company_tier,is_ai_ml_role
Full Stack Developer,Techlogix,Hybrid (Karachi),Full-time,Junior,1.0,195,"Node.js, SQL, PyTorch, JavaScript, Python, React, BERT",Masters,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, SQL, PyTorch, JavaScript, Python, React, BERT.
        Experience required: 1.0+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Health Insurance",2024-08-14,Tier1,False
Data Analyst,Folio3,Hybrid (Islamabad),Full-time,Junior,1.3,175,"Node.js, SQL, Power BI, Python, Excel, Docker, MongoDB, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, SQL, Power BI, Python, Excel, Docker, MongoDB, Data Visualization.
        Experience required: 1.3+ years.
        This is a Contract position.
        Education: PhD preferred.","Medical Coverage, Performance Bonus, Stock Options, Annual Bonus, Remote Work",2025-02-05,Tier1,False
Senior Data Scientist,Systems Ltd,Remote,Freelance,Mid,2.6,485,"AWS, TensorFlow, Flask, Python, Git, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Senior Data Scientist to join our team. 
        Required skills: AWS, TensorFlow, Flask, Python, Git, Statistics, Machine Learning, Data Visualization.
        Experience required: 2.6+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Remote Work, Flexible Hours",2024-12-11,MNC,True
Junior Machine Learning Engineer,Arbisoft,Hybrid (Islamabad),Full-time,Senior,9.5,740,"Node.js, FastAPI, TensorFlow, PyTorch, Python, Docker, MongoDB, MLOps",Masters,"We are hiring a Junior Machine Learning Engineer to join our team. 
        Required skills: Node.js, FastAPI, TensorFlow, PyTorch, Python, Docker, MongoDB, MLOps.
        Experience required: 9.5+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Performance Bonus, Annual Bonus",2024-08-22,Tier1,True
DevOps Engineer,Techlogix,Islamabad,Full-time,Junior,0.4,175,"Kubernetes, AWS, Flask, PyTorch, CI/CD, Docker, Airflow, BERT",Masters,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, Flask, PyTorch, CI/CD, Docker, Airflow, BERT.
        Experience required: 0.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Annual Bonus, Stock Options, Professional Development, Health Insurance",2025-02-17,Tier1,False
Associate DevOps Engineer,Arbisoft,Hybrid (Lahore),Freelance,Mid,2.8,375,"AWS, Kubernetes, Flask, PyTorch, CI/CD, Docker, Linux, BERT",PhD,"We are hiring a Associate DevOps Engineer to join our team. 
        Required skills: AWS, Kubernetes, Flask, PyTorch, CI/CD, Docker, Linux, BERT.
        Experience required: 2.8+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Food Allowance, Stock Options",2025-02-28,Tier1,False
Data Analyst,Contour,Rawalpindi,Full-time,Junior,1.1,165,"AWS, SQL, Power BI, Excel, Python, PostgreSQL, BERT, Data Visualization",PhD,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, Power BI, Excel, Python, PostgreSQL, BERT, Data Visualization.
        Experience required: 1.1+ years.
        This is a Contract position.
        Education: Masters preferred.","Professional Development, Food Allowance",2024-03-16,Tier2,False
Full Stack Developer,Systems Ltd,Hybrid (Karachi),Freelance,Junior,2.0,280,"Node.js, SQL, PyTorch, JavaScript, Python, LLMs, React, PostgreSQL",Bachelors,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, SQL, PyTorch, JavaScript, Python, LLMs, React, PostgreSQL.
        Experience required: 2.0+ years.
        This is a Full-time position.
        Education: Masters preferred.","Transport Allowance, Flexible Hours, Professional Development, Annual Bonus",2024-07-30,MNC,False
AI Research Engineer,Techlogix,Karachi,Freelance,Junior,1.6,475,"FastAPI, PyTorch, MLflow, Python, Deep Learning, Docker, BERT",PhD,"We are hiring a AI Research Engineer to join our team. 
        Required skills: FastAPI, PyTorch, MLflow, Python, Deep Learning, Docker, BERT.
        Experience required: 1.6+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Food Allowance, Medical Coverage, Transport Allowance, Remote Work",2024-06-17,Tier1,True
Data Scientist,Netsol,Lahore,Contract,Senior,5.4,345,"TensorFlow, SQL, Airflow, Python, LLMs, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: TensorFlow, SQL, Airflow, Python, LLMs, Statistics, Machine Learning, Data Visualization.
        Experience required: 5.4+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Remote Work, Flexible Hours, Professional Development, Health Insurance, Food Allowance",2024-11-06,MNC,True
Full Stack Developer,10Pearls,Remote,Freelance,Senior,8.1,320,"Node.js, Kubernetes, SQL, Flask, MLflow, JavaScript, Python",Masters,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, Kubernetes, SQL, Flask, MLflow, JavaScript, Python.
        Experience required: 8.1+ years.
        This is a Freelance position.
        Education: PhD preferred.","Flexible Hours, Transport Allowance, Medical Coverage",2024-07-25,MNC,False
DevOps Engineer,Arbisoft,Hybrid (Islamabad),Freelance,Mid,3.0,395,"Kubernetes, AWS, FastAPI, MLflow, PyTorch, CI/CD, Docker, BERT",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, FastAPI, MLflow, PyTorch, CI/CD, Docker, BERT.
        Experience required: 3.0+ years.
        This is a Contract position.
        Education: Masters preferred.","Professional Development, Medical Coverage",2024-09-18,Tier1,False
Machine Learning Engineer,Netsol,Hybrid (Karachi),Freelance,Senior,7.4,445,"Kubernetes, TensorFlow, PyTorch, Python, Docker, MLOps, BERT",Bachelors,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: Kubernetes, TensorFlow, PyTorch, Python, Docker, MLOps, BERT.
        Experience required: 7.4+ years.
        This is a Contract position.
        Education: Masters preferred.","Performance Bonus, Transport Allowance, Flexible Hours, Annual Bonus, Food Allowance",2024-08-21,MNC,True
Machine Learning Engineer,10Pearls,Hybrid (Islamabad),Contract,Senior,7.8,655,"TensorFlow, PyTorch, Python, LLMs, Docker, Git, MLOps",Masters,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: TensorFlow, PyTorch, Python, LLMs, Docker, Git, MLOps.
        Experience required: 7.8+ years.
        This is a Freelance position.
        Education: PhD preferred.","Remote Work, Medical Coverage, Transport Allowance, Performance Bonus, Professional Development",2024-09-28,MNC,True
Business Intelligence Developer,Netsol,Rawalpindi,Full-time,Mid,3.3,160,"ETL, AWS, SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, AWS, SQL, Power BI, PyTorch, Data Warehouse, Excel, Airflow.
        Experience required: 3.3+ years.
        This is a Contract position.
        Education: PhD preferred.","Stock Options, Remote Work",2024-05-19,MNC,False
Data Analyst,Systems Ltd,Hybrid (Karachi),Contract,Junior,1.3,175,"AWS, SQL, Power BI, Excel, Python, React, BERT, Data Visualization",Masters,"We are hiring a Data Analyst to join our team. 
        Required skills: AWS, SQL, Power BI, Excel, Python, React, BERT, Data Visualization.
        Experience required: 1.3+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Performance Bonus, Health Insurance, Food Allowance, Stock Options, Flexible Hours",2025-01-29,MNC,False
Business Intelligence Developer,Netsol,Hybrid (Karachi),Full-time,Senior,6.2,310,"ETL, FastAPI, SQL, Power BI, Data Warehouse, Excel, PostgreSQL, BERT",Not Specified,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, FastAPI, SQL, Power BI, Data Warehouse, Excel, PostgreSQL, BERT.
        Experience required: 6.2+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Remote Work, Health Insurance, Annual Bonus, Food Allowance, Flexible Hours",2024-11-14,MNC,False
Data Analyst,Netsol,Karachi,Freelance,Junior,0.2,135,"Node.js, TensorFlow, SQL, Power BI, Python, Excel, LLMs, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, TensorFlow, SQL, Power BI, Python, Excel, LLMs, Data Visualization.
        Experience required: 0.2+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Health Insurance, Medical Coverage, Remote Work, Stock Options, Annual Bonus",2024-08-03,MNC,False
Data Scientist,Techlogix,Karachi,Full-time,Senior,9.0,650,"Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: Kubernetes, TensorFlow, SQL, Python, React, Statistics, Machine Learning, Data Visualization.
        Experience required: 9.0+ years.
        This is a Contract position.
        Education: Masters preferred.","Stock Options, Professional Development",2024-05-11,Tier1,True
DevOps Engineer,Netsol,Multan,Freelance,Senior,5.9,525,"Kubernetes, AWS, MLflow, CI/CD, Docker, Linux, BERT",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, MLflow, CI/CD, Docker, Linux, BERT.
        Experience required: 5.9+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Medical Coverage, Transport Allowance, Food Allowance, Health Insurance",2024-03-02,MNC,False
Data Scientist,10Pearls,Hybrid (Islamabad),Full-time,Senior,9.5,430,"Node.js, SQL, Airflow, Git, Statistics, Machine Learning, MongoDB, Data Visualization",PhD,"We are hiring a Data Scientist to join our team. 
        Required skills: Node.js, SQL, Airflow, Git, Statistics, Machine Learning, MongoDB, Data Visualization.
        Experience required: 9.5+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Transport Allowance, Professional Development, Food Allowance, Remote Work, Annual Bonus",2024-11-29,MNC,True
Business Intelligence Developer,Folio3,Hybrid (Karachi),Full-time,Junior,0.9,255,"ETL, FastAPI, SQL, Power BI, MLflow, Data Warehouse, Excel, Git",Bachelors,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, FastAPI, SQL, Power BI, MLflow, Data Warehouse, Excel, Git.
        Experience required: 0.9+ years.
        This is a Contract position.
        Education: PhD preferred.","Remote Work, Professional Development, Health Insurance, Medical Coverage",2025-02-12,Tier1,False
Full Stack Developer,10Pearls,Hybrid (Islamabad),Freelance,Junior,1.0,210,"Node.js, AWS, SQL, JavaScript, Python, Docker, React",PhD,"We are hiring a Full Stack Developer to join our team. 
        Required skills: Node.js, AWS, SQL, JavaScript, Python, Docker, React.
        Experience required: 1.0+ years.
        This is a Full-time position.
        Education: PhD preferred.","Performance Bonus, Medical Coverage, Food Allowance, Flexible Hours",2024-12-20,MNC,False
NLP Engineer,Netsol,Rawalpindi,Full-time,Junior,0.7,400,"Hugging Face, Flask, PyTorch, NLP, Python, LLMs, React, Airflow",Masters,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, Flask, PyTorch, NLP, Python, LLMs, React, Airflow.
        Experience required: 0.7+ years.
        This is a Full-time position.
        Education: Masters preferred.","Performance Bonus, Professional Development, Medical Coverage",2024-12-19,MNC,True
DevOps Engineer,Techlogix,Hybrid (Karachi),Contract,Mid,4.1,380,"Kubernetes, AWS, Flask, CI/CD, Docker, Linux",Not Specified,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, AWS, Flask, CI/CD, Docker, Linux.
        Experience required: 4.1+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Health Insurance, Professional Development",2024-03-05,Tier1,False
Business Intelligence Developer,Techlogix,Remote,Contract,Senior,6.3,285,"ETL, AWS, FastAPI, Kubernetes, SQL, Data Warehouse, Excel, LLMs",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, AWS, FastAPI, Kubernetes, SQL, Data Warehouse, Excel, LLMs.
        Experience required: 6.3+ years.
        This is a Full-time position.
        Education: Masters preferred.","Annual Bonus, Flexible Hours, Remote Work, Professional Development",2024-01-28,Tier1,False
AI Research Engineer,Techlogix,Rawalpindi,Full-time,Junior,0.1,355,"MLflow, PyTorch, Python, Deep Learning, React, MongoDB, BERT",Not Specified,"We are hiring a AI Research Engineer to join our team. 
        Required skills: MLflow, PyTorch, Python, Deep Learning, React, MongoDB, BERT.
        Experience required: 0.1+ years.
        This is a Full-time position.
        Education: Masters preferred.","Medical Coverage, Annual Bonus, Stock Options",2024-02-11,Tier1,True
Business Intelligence Developer,Folio3,Multan,Contract,Junior,0.6,215,"ETL, SQL, Power BI, MLflow, Data Warehouse, Excel, Git, React",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, SQL, Power BI, MLflow, Data Warehouse, Excel, Git, React.
        Experience required: 0.6+ years.
        This is a Freelance position.
        Education: Masters preferred.","Annual Bonus, Medical Coverage, Flexible Hours, Food Allowance, Remote Work",2025-02-07,Tier1,False
Machine Learning Engineer,10Pearls,Karachi,Freelance,Junior,1.0,390,"Kubernetes, TensorFlow, PyTorch, Python, Docker, Airflow, MongoDB, MLOps",PhD,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: Kubernetes, TensorFlow, PyTorch, Python, Docker, Airflow, MongoDB, MLOps.
        Experience required: 1.0+ years.
        This is a Freelance position.
        Education: Not Specified preferred.","Annual Bonus, Health Insurance, Transport Allowance, Food Allowance, Stock Options",2024-09-13,MNC,True
Data Scientist,Techlogix,Lahore,Contract,Mid,4.3,350,"FastAPI, SQL, Flask, Python, PostgreSQL, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: FastAPI, SQL, Flask, Python, PostgreSQL, Statistics, Machine Learning, Data Visualization.
        Experience required: 4.3+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Annual Bonus, Performance Bonus, Food Allowance, Flexible Hours, Stock Options",2024-05-22,Tier1,True
Data Analyst,Folio3,Remote,Freelance,Mid,3.9,265,"Node.js, SQL, Power BI, Excel, Python, Git, PostgreSQL, Data Visualization",Not Specified,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, SQL, Power BI, Excel, Python, Git, PostgreSQL, Data Visualization.
        Experience required: 3.9+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Transport Allowance, Health Insurance, Flexible Hours, Professional Development, Stock Options",2025-01-30,Tier1,False
Business Intelligence Developer,Techlogix,Karachi,Full-time,Junior,1.7,175,"ETL, SQL, Power BI, MLflow, Data Warehouse, Excel, Docker, React",Bachelors,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, SQL, Power BI, MLflow, Data Warehouse, Excel, Docker, React.
        Experience required: 1.7+ years.
        This is a Freelance position.
        Education: Masters preferred.","Medical Coverage, Health Insurance, Transport Allowance, Remote Work",2024-05-02,Tier1,False
Lead Business Intelligence Developer,Techlogix,Lahore,Contract,Junior,1.2,190,"ETL, FastAPI, TensorFlow, SQL, Flask, Power BI, Data Warehouse, Excel",PhD,"We are hiring a Lead Business Intelligence Developer to join our team. 
        Required skills: ETL, FastAPI, TensorFlow, SQL, Flask, Power BI, Data Warehouse, Excel.
        Experience required: 1.2+ years.
        This is a Freelance position.
        Education: Masters preferred.","Professional Development, Transport Allowance",2024-11-02,Tier1,False
Data Scientist,Netsol,Hybrid (Lahore),Contract,Mid,2.7,340,"SQL, Flask, Airflow, Python, PostgreSQL, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: SQL, Flask, Airflow, Python, PostgreSQL, Statistics, Machine Learning, Data Visualization.
        Experience required: 2.7+ years.
        This is a Contract position.
        Education: PhD preferred.","Flexible Hours, Transport Allowance, Remote Work",2024-07-12,MNC,True
NLP Engineer,Techlogix,Rawalpindi,Contract,Mid,3.2,485,"Hugging Face, PyTorch, NLP, Python, LLMs, React, BERT",PhD,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, PyTorch, NLP, Python, LLMs, React, BERT.
        Experience required: 3.2+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Transport Allowance, Stock Options, Annual Bonus",2024-09-26,Tier1,True
NLP Engineer,Techlogix,Multan,Contract,Mid,2.3,555,"Hugging Face, AWS, Kubernetes, TensorFlow, PyTorch, NLP, LLMs, React",Bachelors,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, AWS, Kubernetes, TensorFlow, PyTorch, NLP, LLMs, React.
        Experience required: 2.3+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Annual Bonus, Remote Work, Performance Bonus, Medical Coverage, Food Allowance",2024-05-27,Tier1,True
Data Scientist,Systems Ltd,Remote,Full-time,Junior,1.3,375,"Kubernetes, SQL, MLflow, Python, Statistics, Machine Learning, BERT, Data Visualization",Not Specified,"We are hiring a Data Scientist to join our team. 
        Required skills: Kubernetes, SQL, MLflow, Python, Statistics, Machine Learning, BERT, Data Visualization.
        Experience required: 1.3+ years.
        This is a Full-time position.
        Education: Bachelors preferred.","Remote Work, Flexible Hours, Performance Bonus, Professional Development, Annual Bonus",2024-03-28,MNC,True
DevOps Engineer,Techlogix,Rawalpindi,Full-time,Mid,2.7,270,"AWS, FastAPI, Kubernetes, CI/CD, Docker, Git, Linux, PostgreSQL",Masters,"We are hiring a DevOps Engineer to join our team. 
        Required skills: AWS, FastAPI, Kubernetes, CI/CD, Docker, Git, Linux, PostgreSQL.
        Experience required: 2.7+ years.
        This is a Freelance position.
        Education: PhD preferred.","Professional Development, Flexible Hours, Transport Allowance, Performance Bonus, Medical Coverage",2024-08-05,Tier1,False
AI Research Engineer,Netsol,Multan,Full-time,Senior,8.2,590,"Kubernetes, PyTorch, MLflow, Python, Deep Learning, Docker, BERT",PhD,"We are hiring a AI Research Engineer to join our team. 
        Required skills: Kubernetes, PyTorch, MLflow, Python, Deep Learning, Docker, BERT.
        Experience required: 8.2+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Flexible Hours, Food Allowance, Remote Work, Medical Coverage",2025-01-16,MNC,True
Data Analyst,Systems Ltd,Lahore,Full-time,Mid,4.7,345,"Node.js, SQL, Power BI, PyTorch, Excel, Python, Git, Data Visualization",PhD,"We are hiring a Data Analyst to join our team. 
        Required skills: Node.js, SQL, Power BI, PyTorch, Excel, Python, Git, Data Visualization.
        Experience required: 4.7+ years.
        This is a Full-time position.
        Education: Masters preferred.","Medical Coverage, Food Allowance, Professional Development",2024-07-31,MNC,False
Business Intelligence Developer,Netsol,Hybrid (Lahore),Freelance,Mid,2.3,205,"ETL, TensorFlow, SQL, Flask, Data Warehouse, Excel, LLMs, BERT",PhD,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, TensorFlow, SQL, Flask, Data Warehouse, Excel, LLMs, BERT.
        Experience required: 2.3+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Medical Coverage, Annual Bonus, Performance Bonus, Stock Options",2025-02-08,MNC,False
AI Research Engineer,10Pearls,Remote,Full-time,Mid,2.0,340,"MLflow, PyTorch, Python, Deep Learning, Git, BERT",PhD,"We are hiring a AI Research Engineer to join our team. 
        Required skills: MLflow, PyTorch, Python, Deep Learning, Git, BERT.
        Experience required: 2.0+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Stock Options, Health Insurance",2024-12-24,MNC,True
Business Intelligence Developer,Systems Ltd,Lahore,Contract,Junior,0.3,200,"ETL, Kubernetes, SQL, Power BI, Data Warehouse, Excel, Airflow, BERT",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, Kubernetes, SQL, Power BI, Data Warehouse, Excel, Airflow, BERT.
        Experience required: 0.3+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Remote Work, Transport Allowance, Professional Development, Health Insurance, Food Allowance",2025-03-29,MNC,False
Business Intelligence Developer,Techlogix,Rawalpindi,Contract,Mid,2.7,240,"ETL, Node.js, SQL, Power BI, Data Warehouse, Excel, LLMs, React",Masters,"We are hiring a Business Intelligence Developer to join our team. 
        Required skills: ETL, Node.js, SQL, Power BI, Data Warehouse, Excel, LLMs, React.
        Experience required: 2.7+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Remote Work, Health Insurance, Medical Coverage",2025-03-10,Tier1,False
Data Analyst,Techlogix,Multan,Full-time,Mid,4.2,300,"FastAPI, SQL, Power BI, Python, LLMs, Git, PostgreSQL, Data Visualization",Bachelors,"We are hiring a Data Analyst to join our team. 
        Required skills: FastAPI, SQL, Power BI, Python, LLMs, Git, PostgreSQL, Data Visualization.
        Experience required: 4.2+ years.
        This is a Full-time position.
        Education: PhD preferred.","Stock Options, Medical Coverage, Professional Development",2024-11-01,Tier1,False
Data Scientist,Systems Ltd,Islamabad,Full-time,Mid,3.7,270,"AWS, SQL, Airflow, Python, Git, Statistics, Machine Learning, Data Visualization",Bachelors,"We are hiring a Data Scientist to join our team. 
        Required skills: AWS, SQL, Airflow, Python, Git, Statistics, Machine Learning, Data Visualization.
        Experience required: 3.7+ years.
        This is a Freelance position.
        Education: Bachelors preferred.","Performance Bonus, Food Allowance, Annual Bonus, Flexible Hours, Professional Development",2024-02-28,MNC,True
DevOps Engineer,Systems Ltd,Rawalpindi,Freelance,Junior,0.5,325,"Kubernetes, FastAPI, TensorFlow, AWS, CI/CD, Docker, Linux, Airflow",PhD,"We are hiring a DevOps Engineer to join our team. 
        Required skills: Kubernetes, FastAPI, TensorFlow, AWS, CI/CD, Docker, Linux, Airflow.
        Experience required: 0.5+ years.
        This is a Freelance position.
        Education: Masters preferred.","Stock Options, Professional Development",2024-06-13,MNC,False
AI Research Engineer,Netsol,Multan,Contract,Senior,8.2,790,"FastAPI, MLflow, PyTorch, Python, Deep Learning, React, BERT",PhD,"We are hiring a AI Research Engineer to join our team. 
        Required skills: FastAPI, MLflow, PyTorch, Python, Deep Learning, React, BERT.
        Experience required: 8.2+ years.
        This is a Contract position.
        Education: Not Specified preferred.","Annual Bonus, Food Allowance, Transport Allowance, Stock Options, Medical Coverage",2025-02-27,MNC,True
Junior Data Analyst,Systems Ltd,Rawalpindi,Contract,Mid,3.5,205,"SQL, Flask, Python, Excel, LLMs, Git, Airflow, Data Visualization",PhD,"We are hiring a Junior Data Analyst to join our team. 
        Required skills: SQL, Flask, Python, Excel, LLMs, Git, Airflow, Data Visualization.
        Experience required: 3.5+ years.
        This is a Full-time position.
        Education: Not Specified preferred.","Transport Allowance, Health Insurance, Professional Development, Performance Bonus",2024-12-09,MNC,False
Machine Learning Engineer,Arbisoft,Multan,Contract,Junior,0.0,285,"AWS, TensorFlow, PyTorch, Python, LLMs, Docker, Airflow, MLOps",PhD,"We are hiring a Machine Learning Engineer to join our team. 
        Required skills: AWS, TensorFlow, PyTorch, Python, LLMs, Docker, Airflow, MLOps.
        Experience required: 0.0+ years.
        This is a Contract position.
        Education: Bachelors preferred.","Health Insurance, Stock Options, Professional Development, Food Allowance",2024-04-25,Tier1,True
NLP Engineer,10Pearls,Karachi,Freelance,Senior,9.8,820,"Hugging Face, Flask, PyTorch, NLP, Python, LLMs, Git, Airflow",Bachelors,"We are hiring a NLP Engineer to join our team. 
        Required skills: Hugging Face, Flask, PyTorch, NLP, Python, LLMs, Git, Airflow.
        Experience required: 9.8+ years.
        This is a Contract position.
        Education: PhD preferred.","Food Allowance, Professional Development, Remote Work",2024-08-02,MNC,True
